Email #,Paragraph,Top Sentence,Sentiment
1,"The staff were polite when spoken to but did not go out of their way to offer assistance. The room was quiet, which I appreciated, but the view was just of a brick wall. It is an okay place for a short business trip.","The room was quiet, which I appreciated, but the view was just of a brick wall.",Positive
2,"We used the pool once, and it was fine, though the water was a little colder than I prefer. There were enough towels, but the area could have used a quick sweep. It is a standard amenity for this level of hotel.",It is a standard amenity for this level of hotel.,Neutral
3,"We were told our room would be ready by 3:00 PM, but we were not actually able to check in until after 6:00 PM. No apology or compensation was offered for the long wait. It was a very poor start to our vacation.","We were told our room would be ready by 3:00 PM, but we were not actually able to check in until after 6:00 PM.",Neutral
4,"The bathroom was a highlight of the suite, featuring a deep soaking tub and a rainfall showerhead. The water pressure was excellent, and the towels were thick and incredibly soft. It felt like having a private spa experience right in our own room.",It felt like having a private spa experience right in our own room.,Positive
5,"I found the hotel restaurant to be a bit overpriced for the quality of food served. The atmosphere was nice, but the menu was fairly limited. It is an okay option if you do not want to leave the property.",I found the hotel restaurant to be a bit overpriced for the quality of food served.,Neutral
6,"Our room was ready on time, but we were not offered any information about the hotel amenities at check-in. The gym was empty when I went, but half of the machines were out of order. It was an okay stay for the price.","Our room was ready on time, but we were not offered any information about the hotel amenities at check-in.",Negative
7,"Our room featured a breathtaking view of the city skyline that looked even better at night. The floor-to-ceiling windows were spotless, allowing for perfect photography opportunities. We spent hours just watching the city lights from the comfort of our king-sized bed.",Our room featured a breathtaking view of the city skyline that looked even better at night.,Positive
8,"The Wi-Fi was advertised as high-speed but was virtually non-existent in our room. I had to go down to the lobby just to send a simple email, which was incredibly frustrating. For the price they charge, this is simply not acceptable.",The Wi-Fi was advertised as high-speed but was virtually non-existent in our room.,Negative
9,"The valet parking service was fast and efficient every time we needed our car. Even during the checkout peak, we only had to wait about five minutes for our vehicle. The drivers were professional and handled our car with great care.",The valet parking service was fast and efficient every time we needed our car.,Positive
10,"The pool area was filthy, with trash overflowing from the bins and used towels scattered everywhere. It looked like it had not been cleaned in days, and the water was cloudy and uninviting. It was a complete waste of an amenity.","The pool area was filthy, with trash overflowing from the bins and used towels scattered everywhere.",Negative
11,"The mountain view I paid extra for was actually just a view of the hotel trash bins and a parking lot. When I asked for a refund of the price difference, the manager was incredibly dismissive. I feel completely cheated by their false advertising.",The mountain view I paid extra for was actually just a view of the hotel trash bins and a parking lot.,Negative
12,"Despite being located on a busy street, the soundproofing in the room was top-notch. We did not hear a single horn honk or siren throughout our entire three-night stay. It provided the quiet, restful environment we desperately needed.","Despite being located on a busy street, the soundproofing in the room was top-notch.",Neutral
13,"The location is excellent for the convention center, but the surrounding area is a bit deserted at night. The room was clean and the staff were helpful with directions. It is a practical choice for business travelers.",The room was clean and the staff were helpful with directions.,Positive
14,"Breakfast was a mix of hits and misses; the pastries were fresh but the eggs were quite bland. The seating area was clean, though the background music was a bit repetitive. It is an average morning experience.","The seating area was clean, though the background music was a bit repetitive.",Neutral
15,"The breakfast was a disaster, with most of the food trays being empty even an hour before the service ended. The tables were sticky and had not been cleared from previous guests. It was a very unhygienic and poorly managed experience.","The breakfast was a disaster, with most of the food trays being empty even an hour before the service ended.",Negative
16,"The bathroom was clean, though the lighting was a bit dim for shaving. The bed was firm, which some might like, but I found it a little stiff. It is a standard budget-friendly hotel experience.",It is a standard budget-friendly hotel experience.,Neutral
17,"The in-room coffee was okay, though I ended up going to a local cafe instead. The pillows were a bit too soft for my liking, but the linens were clean. It was a perfectly average stay without any major issues.",It was a perfectly average stay without any major issues.,Positive
18,"The carpet in our room was damp and had a strange, musty odor that was very unpleasant. We tried to open a window to let in some fresh air, but it was stuck shut. It made the entire stay feel very uncomfortable.",It made the entire stay feel very uncomfortable.,Negative
19,The plumbing in the bathroom was ancient; the toilet clogged twice and the sink drained at a snail pace. It took three calls to maintenance before anyone finally showed up to fix the issue. The whole experience was incredibly inconvenient.,The whole experience was incredibly inconvenient.,Negative
20,"Our stay was fine, but nothing particularly stood out as exceptional. The breakfast buffet had a standard selection of cereal and eggs, but the quality was just middle-of-the-road. We might stay here again if the price is right.","Our stay was fine, but nothing particularly stood out as exceptional.",Neutral
21,"We loved the fact that the hotel provided high-quality sunscreen and after-sun lotion at the pool area. It is those small, thoughtful gestures that really show they care about their guests well-being. We did not have to worry about a thing while lounging in the sun.",We loved the fact that the hotel provided high-quality sunscreen and after-sun lotion at the pool area.,Positive
22,The airport shuttle service was punctual and the van was very clean and spacious. The driver was helpful with our heavy suitcases and gave us some great tips on which terminal gate to head toward. It took all the stress out of our departure.,The airport shuttle service was punctual and the van was very clean and spacious.,Positive
23,Our room was equipped with a high-end air purification system that made the air feel incredibly fresh. This was a huge plus for my allergies and helped me sleep much better than I usually do in hotels. It is a great feature for health-conscious travelers.,Our room was equipped with a high-end air purification system that made the air feel incredibly fresh.,Positive
24,The air conditioning in the lobby was so cold that it was uncomfortable to sit there for more than a few minutes. The air conditioning in our room was barely working at all. The entire climate control system seemed to be failing.,The air conditioning in our room was barely working at all.,Negative
25,The front desk staff were incredibly rude and acted like my presence was a major inconvenience to them. I stood at the counter for ten minutes before anyone even acknowledged me. I have never experienced such poor customer service in my life.,The front desk staff were incredibly rude and acted like my presence was a major inconvenience to them.,Negative
26,"The hotel is located right next to a shopping mall, which is convenient for errands. However, the area gets very congested with traffic during the day. It is a functional location for specific needs.","The hotel is located right next to a shopping mall, which is convenient for errands.",Neutral
27,"I found a cockroach in the bathroom on our second night, which was absolutely disgusting. When I reported it, the staff just gave me a can of bug spray instead of moving us to a new room. I could not wait to check out and leave.","When I reported it, the staff just gave me a can of bug spray instead of moving us to a new room.",Negative
28,"The hotel breakfast buffet featured a live cooking station where the chef made personalized crepes. I loved being able to choose my own fillings, and the ingredients were all incredibly fresh. It was a delightful gourmet touch to a standard meal.",The hotel breakfast buffet featured a live cooking station where the chef made personalized crepes.,Positive
29,"The hotel restaurant service was incredibly slow; it took over an hour for our appetizers to arrive. When the main courses finally came, they were cold and poorly cooked. We ended up leaving without finishing our meal.",The hotel restaurant service was incredibly slow; it took over an hour for our appetizers to arrive.,Neutral
30,"The hotel staff were exceptionally helpful when we needed to arrange a complicated series of tours. They handled all the bookings and transportation, making our itinerary seamless and stress-free. We could not have asked for better assistance.",The hotel staff were exceptionally helpful when we needed to arrange a complicated series of tours.,Positive
31,"We celebrated our wedding anniversary here, and the staff went out of their way to make it special. They surprised us with a complimentary bottle of wine and a handwritten note in our room. It is rare to find such personalized service in a large hotel chain.",It is rare to find such personalized service in a large hotel chain.,Positive
32,"Parking was available on-site for a daily fee, which was convenient but a bit expensive. The staff at the front desk were efficient but lacked a personal touch. It is a professional, business-like environment.",The staff at the front desk were efficient but lacked a personal touch.,Neutral
33,"The Wi-Fi was free, but the speed was only sufficient for checking emails. The bathroom was small but had a decent amount of counter space. It is an unremarkable but perfectly safe option.",The bathroom was small but had a decent amount of counter space.,Neutral
34,"The fitness center is only open during limited hours, which was a bit inconvenient for my schedule. The room was basic but functional, with a small desk and chair. It is a fine choice for a short-term stay.","The room was basic but functional, with a small desk and chair.",Neutral
35,"The elevator broke down while we were inside, and it took over thirty minutes for anyone to respond to the alarm. The staff seemed completely untrained for emergencies and offered no compensation for the ordeal. It was a terrifying experience.",The staff seemed completely untrained for emergencies and offered no compensation for the ordeal.,Negative
36,"I liked that they offered a free shuttle to the airport, even if it only ran once an hour. The room was okay, but the carpet looked like it had seen better days. It is an affordable option for a quick layover.","The room was okay, but the carpet looked like it had seen better days.",Positive
37,The hotel complimentary breakfast was just some stale bread and instant coffee. It was a far cry from the gourmet spread they showed in the photos online. We ended up going to a nearby diner every morning.,The hotel complimentary breakfast was just some stale bread and instant coffee.,Negative
38,"The furniture in the room was functional but showed some noticeable wear and tear on the corners. The staff handled our checkout quickly, which was helpful for our early flight. It is a reliable, if plain, choice.",The furniture in the room was functional but showed some noticeable wear and tear on the corners.,Neutral
39,"The gym was a joke, with only one working treadmill and a set of rusted dumbbells. The room was also poorly ventilated and smelled of mildew. It was definitely not the state-of-the-art facility they promised on their website.",The room was also poorly ventilated and smelled of mildew.,Negative
40,"We were traveling with our golden retriever, and the hotel was incredibly pet-friendly. They provided a comfortable dog bed, bowls, and even a small bag of organic treats. It made traveling with a pet feel effortless and welcoming.","We were traveling with our golden retriever, and the hotel was incredibly pet-friendly.",Neutral
41,"The Wi-Fi worked for basic browsing, but I struggled with video calls during peak evening hours. The gym was small but functional, containing the basics like a treadmill and some free weights. It is an average experience overall.",It is an average experience overall.,Neutral
42,"The pricing for the mini-bar was surprisingly reasonable for a high-end hotel. Usually, these items are marked up excessively, but here they were fair. It was nice to grab a snack without feeling like I was being overcharged.",The pricing for the mini-bar was surprisingly reasonable for a high-end hotel.,Negative
43,"Housekeeping came every day, but they often forgot to replace the used coffee pods. The room size was adequate for two people, though the closet was a bit cramped. It was a functional, if uninspired, stay.","The room size was adequate for two people, though the closet was a bit cramped.",Neutral
44,"The lobby area is quite grand, but the actual guest rooms feel much more basic. I found the air conditioning to be a bit loud when it cycled on and off at night. It is a decent three-star property.",I found the air conditioning to be a bit loud when it cycled on and off at night.,Neutral
45,"We spent a rainy afternoon in the hotel library, which was a cozy and quiet retreat. They had a great selection of books and comfortable leather armchairs. It was the perfect spot to relax with a cup of hot tea.","We spent a rainy afternoon in the hotel library, which was a cozy and quiet retreat.",Positive
46,"The room decor was a bit corporate and lacked any local character. However, it was clean and the bed provided a decent night sleep. It is a standard business hotel that does what it is supposed to do.",The room decor was a bit corporate and lacked any local character.,Neutral
47,"The sound from the hallway was occasionally audible, but it was not loud enough to keep us awake. The room was bright with natural light, which was a plus. It is a decent, middle-of-the-road hotel.","It is a decent, middle-of-the-road hotel.",Positive
48,"I appreciated the tea-making facilities in the room, though the selection of teas was limited. The bed was made every day, but the duvet felt a bit thin. It is a standard accommodation for a traveler on a budget.","The bed was made every day, but the duvet felt a bit thin.",Neutral
49,"The hotel gym was better equipped than most commercial fitness centers I have visited. It featured brand-new cardio machines, a full rack of dumbbells, and even a dedicated yoga space. Having chilled eucalyptus towels available after a workout was a very thoughtful touch.",The hotel gym was better equipped than most commercial fitness centers I have visited.,Positive
50,"The room was generally clean and the bed was comfortable enough for a two-night stay. However, the decor felt a bit dated and could use a modern refresh. It served its purpose but did not necessarily wow us.",The room was generally clean and the bed was comfortable enough for a two-night stay.,Neutral
51,"The hotel business center consisted of one ancient computer that was incredibly slow and a printer that was out of ink. It was impossible to get any work done, which was a major problem for my trip.",The hotel business center consisted of one ancient computer that was incredibly slow and a printer that was out of ink.,Negative
52,"We found the elevators to be quite slow during the morning rush. The room itself was tidy, but we could hear occasional muffled talking from the neighboring room. It is a middle-tier hotel that meets basic needs.","The room itself was tidy, but we could hear occasional muffled talking from the neighboring room.",Neutral
53,"The housekeeping team deserves a standing ovation for their attention to detail. Every day, the room was returned to a pristine state with fresh linens and replenished high-end toiletries. We particularly loved the small chocolates left on our pillows during the evening turndown.","Every day, the room was returned to a pristine state with fresh linens and replenished high-end toiletries.",Positive
54,"The water pressure in the shower was a bit weak, but the temperature was consistent. The TV had a good selection of channels, which was nice for a quiet night in. It is a standard hotel that does not take many risks.",It is a standard hotel that does not take many risks.,Neutral
55,I appreciated the eco-friendly initiatives the hotel has implemented throughout the property. They use glass water bottles instead of plastic and have a very clear recycling program in the rooms. It is nice to stay at a place that prioritizes sustainability.,I appreciated the eco-friendly initiatives the hotel has implemented throughout the property.,Positive
56,"The hotel is located in a quiet neighborhood, which made for good sleep. On the downside, it is quite a trek to the city center using public transport. It is a trade-off between peace and convenience.","The hotel is located in a quiet neighborhood, which made for good sleep.",Positive
57,"We requested extra blankets and they were delivered within twenty minutes. The room design was a bit clunky, with the light switches in odd places. It was a standard stay that checked the basic boxes.","The room design was a bit clunky, with the light switches in odd places.",Negative
58,"The cleanliness of the room was unacceptable; I found hair in the shower and stains on the bed sheets. When I called the front desk, they told me no housekeeping was available until the morning. I would never recommend this place to anyone.",The cleanliness of the room was unacceptable; I found hair in the shower and stains on the bed sheets.,Negative
59,"Our room balcony was the perfect spot for a morning coffee. We had a great view of the courtyard gardens, which were meticulously landscaped and very peaceful. It was a wonderful way to start each day of our vacation.",Our room balcony was the perfect spot for a morning coffee.,Positive
60,"Check-out was at 11:00 AM, which felt a little early compared to other places I have stayed. The room was clean and the staff were professional during the brief interaction. It is a standard corporate-style hotel.",The room was clean and the staff were professional during the brief interaction.,Neutral
61,"We were impressed by the speed of the laundry and dry-cleaning service. We dropped off a suit in the morning and it was returned, perfectly pressed, by the same evening. This efficiency is exactly what a business traveler needs.",We were impressed by the speed of the laundry and dry-cleaning service.,Positive
62,"The rooftop pool area felt like a private oasis in the middle of a bustling city. The water temperature was perfectly regulated, and there were plenty of plush lounge chairs available. The poolside bar served some of the best mojitos we have ever tasted.",The rooftop pool area felt like a private oasis in the middle of a bustling city.,Positive
63,"I was highly impressed by the modern technology integrated into the room design. We could control the lighting, temperature, and curtains all from a central tablet next to the bed. The Wi-Fi signal was also exceptionally strong, which was vital for my remote work.",I was highly impressed by the modern technology integrated into the room design.,Positive
64,I was extremely disappointed to find that the room I booked was not the one I received. The staff were unhelpful when I pointed out the discrepancy and refused to move me. The air conditioning was broken and the room was stiflingly hot all night.,The air conditioning was broken and the room was stiflingly hot all night.,Negative
65,"The hotel advertised a shuttle service to the beach, but when we tried to use it, we were told it had been discontinued months ago. This was a major reason we booked this hotel, and we felt misled. We ended up spending a lot of money on taxis.","This was a major reason we booked this hotel, and we felt misled.",Negative
66,The evening jazz band in the hotel lounge was a fantastic addition to our stay. The music was at a perfect volume where we could still hold a conversation while enjoying the performance. It added a layer of class and entertainment to our nights.,The evening jazz band in the hotel lounge was a fantastic addition to our stay.,Positive
67,The walls were so thin that I could hear every word of the conversation in the next room. It felt like I had zero privacy and the noise kept me up until the early hours of the morning. This is by far the worst night sleep I have ever had.,The walls were so thin that I could hear every word of the conversation in the next room.,Negative
68,"The breakfast was included in our rate, which was nice, but the hot food was often lukewarm. The dining room was also quite crowded during the peak morning hour. It was a passable meal to start the day.",The dining room was also quite crowded during the peak morning hour.,Neutral
69,"The hotel luxury spa was a major letdown, with rude staff and a very clinical atmosphere. The massage I received was rushed and not at all relaxing. It was definitely not worth the high price I paid.","The hotel luxury spa was a major letdown, with rude staff and a very clinical atmosphere.",Negative
70,"Security at the hotel made us feel very safe throughout our visit. You needed a key card to access the elevators and the residential floors, which we appreciated. The lobby was also well-staffed at all hours of the night.",Security at the hotel made us feel very safe throughout our visit.,Positive
71,"The check-in process was incredibly smooth and welcoming. The front desk staff offered us a glass of champagne upon arrival, which set a luxury tone for the entire stay. Our luggage was delivered to the room before we even finished our drinks.",Our luggage was delivered to the room before we even finished our drinks.,Neutral
72,"The hotel concierge was just a desk with a few old brochures and no actual person to help us. We had to figure everything out on our own, which was very disappointing for a hotel that claims to be high-end.",The hotel concierge was just a desk with a few old brochures and no actual person to help us.,Neutral
73,"The lobby smells very nice, but that scent does not quite carry over into the hallways. The room was a bit small for the price, but the location made up for it. It is a fair deal overall.","The room was a bit small for the price, but the location made up for it.",Neutral
74,"The hotel free parking was actually a tiny, crowded lot that was nearly impossible to navigate. I ended up scraping my car on a concrete pillar while trying to park. It was a very stressful and poorly managed situation.","The hotel free parking was actually a tiny, crowded lot that was nearly impossible to navigate.",Negative
75,The hotel bar had a limited selection of drinks but the service was fast. The lobby seating was comfortable enough while waiting for our taxi. It is a typical urban hotel with no major surprises.,The hotel bar had a limited selection of drinks but the service was fast.,Neutral
76,The bathroom tiles were cracked and there was mold growing around the edges of the tub. It was clear that the room had not been properly maintained in quite some time. The overall lack of upkeep was very disappointing.,It was clear that the room had not been properly maintained in quite some time.,Negative
77,The spa salt room was an incredibly relaxing experience that I had not tried before. It was the perfect way to detox after a long flight and a busy day of meetings. The staff provided warm herbal tea and soft robes that made the experience even better.,The spa salt room was an incredibly relaxing experience that I had not tried before.,Positive
78,"I had a terrible experience with the valet service; they lost my car keys for over an hour. Instead of apologizing, the staff were rude and acted like it was my fault. I almost missed my flight because of their incompetence.","Instead of apologizing, the staff were rude and acted like it was my fault.",Negative
79,"The king-sized bed was actually just two twin mattresses pushed together, with a large gap in the middle. It was incredibly uncomfortable and led to a very poor night sleep. This is not what I expected from a hotel at this price point.",It was incredibly uncomfortable and led to a very poor night sleep.,Negative
80,I was shocked to find hidden fees on my bill at checkout that were never mentioned during booking. The staff were very aggressive when I questioned the charges and refused to explain them. I will definitely be disputing this with my credit card company.,The staff were very aggressive when I questioned the charges and refused to explain them.,Negative
81,"The lobby decor is a bit flashy for my taste, but it was well-maintained. The staff were efficient and got us to our room quickly. It is a solid, predictable hotel for a one-night stopover.",The staff were efficient and got us to our room quickly.,Positive
82,The hotel commitment to supporting local artists was evident in the beautiful murals throughout the common areas. Each piece had a small plaque explaining the artist inspiration and background. It added a unique and meaningful touch to the hotel aesthetic.,The hotel commitment to supporting local artists was evident in the beautiful murals throughout the common areas.,Positive
83,We were pleasantly surprised by the library of movies available for free on our room smart TV. It was a great way to unwind in the evening without having to pay for extra entertainment. The sound system in the room was also surprisingly high quality.,The sound system in the room was also surprisingly high quality.,Positive
84,"I was charged for several items from the minibar that I never even touched. When I tried to resolve the issue at checkout, the clerk was very unhelpful and insisted I must have used them. It was a very frustrating and dishonest experience.",It was a very frustrating and dishonest experience.,Negative
85,"I found the hotel security to be very lax, with the side doors left unlocked at all hours of the night. This made me feel very unsafe, especially given the neighborhood. I would not stay here again for safety reasons.","This made me feel very unsafe, especially given the neighborhood.",Negative
86,We found the location of the hotel to be absolutely perfect for sightseeing. Most of the major historical landmarks were within a ten-minute walk of the front lobby. This saved us a significant amount of money on ride-sharing and public transportation.,We found the location of the hotel to be absolutely perfect for sightseeing.,Positive
87,"I found the room temperature hard to regulate; it was either a bit too cold or too warm. The towels were a bit scratchy, but they were replaced daily. It is a fine place to stay if you just need a bed for the night.",I found the room temperature hard to regulate; it was either a bit too cold or too warm.,Neutral
88,"There was a strong smell of cigarette smoke in our non-smoking room that made it very difficult to sleep. Despite our complaints, the hotel was full and they could not move us to another room. We left with a headache the next morning.","Despite our complaints, the hotel was full and they could not move us to another room.",Neutral
89,The concierge was an absolute fountain of knowledge regarding local hidden gems. He recommended a small family-owned bistro that was not on any of the popular must-visit lists. It ended up being the best meal of our entire trip.,It ended up being the best meal of our entire trip.,Positive
90,Our stay was ruined by the constant noise from a construction project right outside our window that started at 6:00 AM. The hotel failed to mention this during the booking process or at check-in. It was impossible to get any rest.,The hotel failed to mention this during the booking process or at check-in.,Negative
91,"Our room was located right next to the service elevator, and the noise from staff throughout the night was constant. We were never told about this potential issue when we were assigned the room. It was a very noisy and unpleasant stay.","Our room was located right next to the service elevator, and the noise from staff throughout the night was constant.",Negative
92,The interior design of the lobby was sophisticated and visually stunning. The combination of marble floors and contemporary art created an atmosphere of refined elegance. It was a beautiful place to sit and enjoy a cocktail before heading out.,The interior design of the lobby was sophisticated and visually stunning.,Positive
93,"The bed was hands down the most comfortable hotel bed I have ever slept in. The mattress had the perfect level of firmness, and the pillows were incredibly supportive. I woke up every morning feeling refreshed and free of back pain.",The bed was hands down the most comfortable hotel bed I have ever slept in.,Neutral
94,The walkability of the neighborhood around the hotel was a major plus for us. We discovered several charming bookstores and cafes within just a few blocks of the entrance. It really made us feel like we were living like locals during our stay.,It really made us feel like we were living like locals during our stay.,Positive
95,"The hotel executive lounge offered a stunning view of the harbor that was especially beautiful at sunset. The evening appetizers were sophisticated and varied, providing a great pre-dinner snack. The staff in the lounge were attentive and professional.",The hotel executive lounge offered a stunning view of the harbor that was especially beautiful at sunset.,Positive
96,"Check-in was straightforward, though the staff seemed a bit preoccupied with other tasks. The location is decent, but there are not many dining options within immediate walking distance. It is a fair choice for the price point.","Check-in was straightforward, though the staff seemed a bit preoccupied with other tasks.",Neutral
97,"I was woken up at 3:00 AM by a loud party in the room above us that went on for hours. When I called security, they said there was nothing they could do about it. It was a completely sleepless and miserable night.",I was woken up at 3:00 AM by a loud party in the room above us that went on for hours.,Negative
98,"Breakfast at the hotel restaurant exceeded all of our expectations. There was a wide variety of fresh fruits, artisanal pastries, and made-to-order omelets. The coffee was high-quality Arabica, and the service was prompt despite the morning rush.",Breakfast at the hotel restaurant exceeded all of our expectations.,Neutral
99,"Every staff member we encountered greeted us with a genuine smile and a hello. It did not feel forced or scripted, but rather like they truly enjoyed their jobs. This level of hospitality is what will definitely bring us back next year.",Every staff member we encountered greeted us with a genuine smile and a hello.,Positive
100,"Our room was never cleaned during our entire three-night stay, despite us leaving the please clean sign on the door. When I mentioned it to the manager, they simply shrugged and said they were short-staffed. It was a totally unprofessional experience.","Our room was never cleaned during our entire three-night stay, despite us leaving the please clean sign on the door.",Negative
